order,english,korean,spanish,russian
stage title story 1_5,Weird Orcs and strange Humans appeared to be a huge alliance. Those have something in common. Both of them wanted to take advantage of Nature. And it looked like it wasn’t easy to take them down.,수상한 오크와 이상한 휴먼의 움직임은 결국 거대한 반란군 연합을 형성하였다. 자연을 발판삼아 번성하는 길을 택한 자들이 자연과 함께 살아가길 원하는 자들에게 반기를 든것이다. 준비없이 맞이하게 된 이 거대한 반란은 쉽게 잠재울 수 있는 것이 아니었다.,Orcos extraños y humanos extraños parecían ser una gran alianza. Esos tienen algo en común. Ambos querían aprovechar la naturaleza. Y parecía que no era fácil derribarlos.,"Подозрительные Орки и странные Люди в конечном итоге сформировали огромную повстанческую коалицию. Те, кто выбрал путь процветания, основанный на природе, восстали против тех, кто хочет жить с природой. Это массовое восстание, которое было произведено без подготовки, было нелегко подавить."
stage title story 1_6,"Khalan, who was pushed by the rebels, became a fugitive. But Khalan is still accepted as a hero to many orcs. The Orcs who support Khalan's will wanted to be his force and it was not difficult to find such an orc. Khalan started to re-build his force with the other Orcs.",반란군에게 밀린 칼란은 도망자 신세가 되었다. 하지만 칼란은 아직 많은 오크족에겐 영웅으로 받아들여지고 있다. 칼란의 뜻을 지지하는 오크족은 그에게 힘이 되길 원했고 그런 오크를 발견하는 일은 그리 어렵지 않았다. 칼란은 꺽이지 않는 창 한 자루를 가슴에 품고 반란군을 몰아내기 위한 작전에 돌입한다.,"Khalan, quien fue empujado por los rebeldes, se convirtió en un fugitivo. Pero Khalan todavía es aceptado como un héroe para muchos orcos. Los orcos que apoyan la voluntad de Khalan querían ser su fuerza y no era difícil encontrar un orco así. Khalan comenzó a reconstruir su fuerza con los otros orcos.","Каран, которого толкнули повстанцы, стал беглецом. Но Калан все еще считается героем для многих орков. Орки, поддерживающие волю Калана, хотели быть с ним, и найти такого орка было несложно. Калан начал планировать выгнать повстанцев."
stage title story 1_7,"The Orc Rebellion, which was also allied with some of the Humans, was not easily overtaken. Justin appeared once again in front of Khalan, who was struggling. It is Human's main regime, not a small force. And it is not easy to take control of the Human's main regime and the Orc Rebellion. Once again, Justin suggested an alliance to Khalan. And Khalan could not refuse it.",일부 휴먼족과도 동맹을 맺은 오크 반란군은 좀처럼 쉽게 따라잡을 수 없는 규모였다. 고심하던 칼란의 앞에 저스틴이 다시 한 번 나타난다. 오크 반란군과 손을 잡은건 휴먼의 일부가 아닌 주정권이고 휴먼의 주병력과 오크 반란군을 제압하는 일은 쉽지 않을 것이라 했다. 자신과 손을 잡으면 이를 타개할 방법이 있다며 다시 한 번 저스틴은 칼란에게 동맹을 제안했고. 칼란은 이를 거절할 수 없었다.,"La Rebelión de los Orcos, que también estaba aliada con algunos de los Humanos, no fue superada fácilmente. Justin apareció una vez más frente a Khalan, quien estaba luchando. Es el principal régimen de los humanos, no una pequeña fuerza. Y no es fácil tomar el control del régimen principal del Humano y la Rebelión de los Orcos. Una vez más, Justin sugirió una alianza a Khalan. Y Khalan no pudo rechazarlo.","Восстание Орков, которое также было связано с некоторыми из Людей, было нелегко подавить. Джастин снова появляется перед Каланом, который боролся. Это не основной режим, который является частью Человека, и нелегко взять под контроль Человеческое Большинство и Восстание Орков. Еще раз, Джастин предложил союз с Каланом. Калан не мог отказаться от этого."
stage title story 1_8,"Justin told Calan to get resources first. And when they gathered their troops and put half of the army as an outpost, they recognized it as a full-scale war and some of the main forces of humanity would be supported. And he ordered the other half to attack the castle of humanity. While Human Army is dispersed, Justin would arrest the king and take the regime. Human soldiers who went to support the Orc Rebellion also promised that if the regime changed, they would become Justin's army and promised to help them overcome the Orc rebel.",저스틴은 칼란에게 먼저 자원을 확보하라 말하였다. 그리고 병력을 모아 절반의 군사를 반란군 전초기지로 처들어가면 이를 전면전으로 인식하고 휴먼의 주병력 중 일부도 지원을 가게 될 것이라 하였다. 그리고 나머지 절반의 병력으로 휴먼의 성를 공격하라 지시했다. 병력이 분산된 휴먼군은 성방어에 정신이 없는 틈을 타서 저스틴은 왕을 체포하고 정권을 잡을 것이라 했다. 오크 반란군의 지원을 나갔던 휴먼의 군사들 역시 정권이 바뀌면 저스틴의 군사가 될 것이라며 이 후 오크 반란군을 제압하도록 도와줄 것이라는 약속을 했다.,"Justin le dijo a Calan que primero obtuviera recursos. Y cuando reunieron a sus tropas y pusieron a la mitad del ejército como un puesto de avanzada, lo reconocieron como una guerra a gran escala y se apoyaría a algunas de las principales fuerzas de la humanidad. Y ordenó a la otra mitad atacar el castillo de la humanidad. Mientras el Ejército Humano está disperso, Justin arrestaría al rey y tomaría el régimen. Los soldados humanos que fueron a apoyar a la Rebelión Orca también prometieron que si el régimen cambiaba, se convertirían en el ejército de Justin y prometieron ayudarlos a superar al rebelde Orco.","Джастин сказал Калану сначала получить ресурсы. И когда они собрали свои войска и поместили половину армии в качестве форпоста, они признали ее полномасштабной войной, и некоторые из основных сил человечества будут поддержаны. И приказал другой половине атаковать замок Человечества. Человек с децентрализованной человеческой расой был пойман в духе неповиновения, и Джастин сказал, что он арестует короля и захватит режим. Люди-солдаты, которые пошли поддержать Восстание Орков, также пообещали, что если режим изменится, они станут армией Джастина и пообещали помочь им победить повстанцев Орков."
stage title story 1_9,"One day, one of the human soldiers came to Calan. He said Justin was fooling Calan. After Calan helped Justin take control of goverment, he said Justin would not help Orc to suppress the rebels. Upon hearing this, Calan, who was upset, ordered the whole army to advance.",어느날 휴먼의 병사 중 한 명이 칼란을 찾아왔다. 그는 저스틴이 칼란을 속이고 있다고 했다. 칼란이 저스틴을 도와 저스틴이 정권을 장악하면 그 후 오크가 반란군을 제압하는데 도움을 주지 않고 방관할 것이라 말했다. 이 말을 듣고 분노한 칼란은 전군에게 진격을 명령했다.,"Un día, uno de los soldados humanos vino a Calan. Dijo que Justin estaba engañando a Calan. Después de que Calan ayudó a Justin a tomar el control del gobierno, dijo que Justin no ayudaría a Orc a reprimir a los rebeldes. Al escuchar esto, Calan, que estaba molesto, ordenó a todo el ejército avanzar.","Однажды один из людей-солдат пришел в Калан. Он сказал, что Джастин дурачит Калана. Если Калан помогает Джастину, Джастин становится королем. После этого солдат сказал, что Джастин будет наблюдать, не помогая орку свергнуть повстанцев. Услышав это, Калан, который был расстроен, приказал всей армии продвигаться вперед."
stage title story 1_10,"Listening to the false report of the Human Spy, the uplifting army of Calan arrived at the outpost of the Orc Rebels. Calan did not believe in Justin and did not believe the spy. The confused Calan thought the only way he can choose is to defeat Orc rebels without human's help. Hearing this news, the Lord's main powers also participated in helping the Orc Rebels. Justin was able to take control of Vinhuman's castle, but he decided to help Calan instead of taking control of the regime and ran to the battlefield.",휴먼 첩자의 거짓 보고를 듣고 진격한 칼란의 군대가 도착한 곳은 오크 반란군의 본거지였다. 칼란은 저스틴도 믿지 않고 첩자의 말도 믿지 않았다. 혼란스러웠던 칼란이 선택할 수 있는 유일한 방법은 휴먼의 도움 없이 오크 반란군을 제압하는 것이었다. 이 소식을 들은 휴먼의 주병력도 오크 반란군의 돕기 위해 출전했다. 빈 휴먼의 성을 쉽게 장악할 수 있는 저스틴이었지만 그는 정권장악 대신 칼란을 돕기로 하고 전장으로 달려간다.,"Escuchando el informe falso del espía humano, el ejército edificante de Calan llegó al puesto de avanzada de los rebeldes orcos. Calan no creía en Justin y no creía al espía. El confundido Calan pensó que la única forma en que puede elegir es derrotar a los rebeldes orcos sin la ayuda de un humano. Al escuchar esta noticia, los poderes principales del Señor también participaron en ayudar a los rebeldes orcos. Justin pudo tomar el control del castillo de Vinhuman, pero decidió ayudar a Calan en lugar de tomar el control del régimen y corrió al campo de batalla.","Прислушиваясь к ложному сообщению Человека-шпиона, прибытие возрождающейся армии Калана стало домом повстанцев-орков. Калан не верил в Джастина и не верил шпиону. Смущенный Калан был единственным способом победить повстанцев-орков без помощи человека. Услышав эту новость, главные силы Господа также участвовали в оказании помощи повстанцам орков. Джастин смог взять под контроль замок Винхумана, но он решил помочь Калану вместо того, чтобы взять контроль над режимом, и побежал на поле битвы."
stage title story 1_11,"The orcs had a tribe called goblins. The goblin entered into an alliance with the orcs in accordance with the Peace Treaty, but the goblin, having no combat capabilities, had to provide labor for the orcs. Goblin Newman, who was unhappy with this, planned to organize an alliance with full-fledged People to cancel this edition and expel him. And because of the false information, the plan to involve Kalan and Justin in the fight against each other is failure and ultimately a full-scale war.",오크족은 고블린이라는 종족을 산하에 두고 있었다. 고블린은 평화협정 아래 오크족과 동맹을 맺었지만 전투 능력이 부족한 고블린은 오크족을 위해 노동력을 제공하는 것이 전부였다. 이것이 불만이었던 고블린 뉴먼은 이 판을 뒤집기 위해서 사리사욕 충만한 휴먼족과의 동맹을 맺고 칼란을 몰아낼 계획을 세웠던 것이다. 그리고 칼란에게 첩자를 보내 쉽게 칼란과 저스틴을 제압하려던 계획이 실패로 돌아가고 결국 전면전을 펼치게 된다.,"Los orcos tenían una tribu llamada duendes. Goblin formó una alianza con los orcos de acuerdo con el Tratado de Paz, pero el goblin, al no tener capacidad de combate, tenía que proporcionar trabajo para los orcos. Goblin Newman, quien no estaba contento con esto, planeó organizar una alianza con People en toda regla para cancelar esta edición y expulsarlo. Y debido a la información falsa, el plan para involucrar a Kalan y Justin en la lucha uno contra el otro es un fracaso y, en última instancia, una guerra a gran escala.","У орков было племя, называемое гоблинами. Гоблин вступил в союз с орками в соответствии с Мирным договором, но гоблин, не имея боевых возможностей, должен был обеспечить рабочую силу для орков. Гоблин Ньюман, который был недоволен этим, планировал организовать альянс с полноценными Людьми, чтобы отменить это издание и изгнать его. И из-за ложной информации, план привлечь Калана и Джастина к борьбе друг с другом - провал и в конечном итоге полномасштабная война."
tutorial 0,Sweety. Welcome to the battle field. I will teach you how to battle. Select a worker. Look at the left side of this talk box. Workers look like this. Select one of them.,어서오렴. 전장에 온 걸 환영한다. 지금부터 뭘 어찌 해야되는지 가르쳐줄께. 우선 일꾼을 선택해보아라. 이 대화상자 왼쪽에 그림이 보이지? 저게 일꾼이란다. 한 명 선택해보렴.,Bienvenido al campo de batalla` cariño. Te enseñaré a luchar. Selecciona un trabajador. Mira a la izquierda. Los trabajadores son así. Selecciona uno de ellos.,Дорогуша` добро пожаловать на поле битвы. Я научу тебя` как сражаться. Выберите рабочего. Посмотрите на левую сторону этого окна. Рабочие выглядят так. Выбери одного из них.
tutorial 1,Good. And touch ground to make units MOVE.,좋아. 이제 땅을 터치해서 일꾼을 움직여보거라.,Bien. Toca el suelo para hacer que la unidad se MUEVA.,Хорошо. Теперь коснитесь земли` чтобы отдать приказ юнитам 'ДВИГАТЬСЯ'
tutorial 2,And use your two fingers to move the view.,두 손가락으로 화면을 움직일 수도 있어.,Y usa tus dos dedos para mover la cámara.,Используйте два пальца` чтобы переместить камеру.
tutorial 3,Very good. He can gather gold. Find a gold mine. And send the selected worker to the mine. A mine looks like this. If you are confused. Just select a worker and select the mine. That’s it.,아주 좋아. 일꾼은 금을 캘 수 있단다. 금광을 찾아서 일꾼에게 일을 시키렴. 어떻게 하냐구? 간단해. 일꾼 선택하고 금광을 선택하면 된다다. 금광은 이렇게 생겼단다.,Muy bien. Puede recoger oro. Encunetra una mina y envía al trabajador seleccionado a la mina. Por si estás un poco perdido` una mina es así. Solo selecciona un trabajador y selecciona la mina. Eso es.,Отлично. Он может собрать золото. Найдите золотой рудник. И отправить выбранного работника на шахту. Она выглядит вот так. Просто выберите рабочего и выберите шахту. Вот так` да.
tutorial 4,Oh dear. You are good at this. aren’t you? Allll right. Now send worker to a tree. He can gather lumber as well. Make sure you checked the axe icon above the lumber you touched. It is just annoying when you find a worker resting under the tree forever!,오 마이! 정말 잘하는구나! 그래` 좋았어! 이제 놀고 있는 일꾼을 선택해서 나무를 해보자꾸나. 일꾼을 선택하고 나무를 선택하면 돼. 나무 위에 도끼 모양이 나타나야 제대로 일을 시작한거야. 가끔 나무 밑에서 놀고있는 일꾼들을 보면 화가 치밀어오르지!,Oh` cariño. Se te da bien` ¿a que sí? Muyyy bien. Ahora envía a un trabajador a un árbol. También puede recoger madera. Asegúrate de que el icono de un hacha aparece sobre el árbol que has tocado. ¡Molesta encontrarse a los trabajadores descansando a la sombra de un árbol!,О` Боже. Ты хорош в этом. Не так ли? Отлично. Теперь отправьте рабочего к дереву. Он также может собирать древесину. Убедитесь` что вы отметили значок топора над древесиной` к которой вы прикоснулись. Не круто` когда ты находишь работника` который вечно отдыхает под деревом вместо работы!
tutorial 5,Goooood. Now. Let’s try building a farm. People must eat. The more farm you have. The more people you can get. Select the worker and select the build icon.,쪼오아. 이제 농장을 하나 지어볼까? 더 많은 인구를 확보하려면 농장이 많아야 한단다. 먹어야 살 것 아니니? 끌끌끌. 일꾼을 선택하고 건설 아이콘을 선택해보려무나.,Bieeeeen. Ahora construyamos una granja. La gente tendrá que comer` ¿no?. Cuantas más granjas tengas` más gente podrás tener. Selecciona un trabajador y selecciona el icono para construir.,Хоороошооо. Сейчас. Давайте попробуем построить ферму. Люди должны есть. Чем больше у вас ферм` тем больше людей вы можете получить. Выберите рабочего и выберите значок сборки.
tutorial 6,Then select the farm. Look at the left. Farms look like this. Let’s build one.,이제 농장을 선택해보렴. 농장은 왼쪽의 그림처럼 생긴 건물이란다. 하나 지어보자꾸나.,Ahora selecciona la granja. Mira a la izquierda. Las granjas son así. Construyamos una.,Затем выберите ферму. Посмотрите налево. Фермы выглядят так. Давайте построим одну.
tutorial 7,Alll righty. Why don’t we try building a barracks. You can train swordsmen and archers from barracks. Try building this one. Do you see the building on the left?,잘 하고 있어! 이제 병영도 하나 지어볼까? 병영에서는 검사나 궁수 같은 병력들을 생산할 수 있단다. 하지 지어보자꾸나. 왼쪽에 그림이 보이지? 저렇게 생긴걸 하나 만들어보려무나.,Muy bien. ¿Por qué no probamos a construir un cuartel? En ellos puedes entrenar a espadachines y a arqueros. Prueba a construir este. ¿Ves el edificio a la izquierda?,Окей. Почему бы нам не попробовать построить казарму. Вы можете обучать мечников и лучников в казармах. Попробуйте построить её. Вы видите здание слева?
tutorial 8,Perrrrfect. Let’s train a swordsman. Select the barracks that you just build. And select a swordsman to train.,완벽해! 이제 검사를 한 명 뽑아보렴. 방금 지은 병영을 선택하고 검사를 선택하면 돼! 아주 쉽지?,Perrrrrfecto. Vamos a entrenar a espadachines. Selecciona el cuartel que acabas de construir y un espadachín al que entrenar.,Отлично. Давайте обучим мечника. Выберите казармы` которые вы только что построили. Затем выберите мечника для тренировки.
tutorial 9,Oh my goodness! You are reeeeally talented! Now. I have a last thing to teach you. DRAG to select MULTIPLE units.,옴마나 세상에! 아주 능숙하구나. 역사에 이름을 남길만한 인물이 여기 있구나! 이제 거의 마지막이다. 한 손가락으로 화면을 쓸어서 여러명의 병력을 선택해보거라.,¡Dios mío! ¡Tienes talento! Bien` tengo una última cosa que enseñarte. ARRASTRA para seleccionar MÚLTIPLES unidades.,Боже мой! Вы действительно талантливы! Сейчас. У меня есть последняя вещь` чтобы научить вас. Потяните` чтобы выбрать НЕСКОЛЬКО единиц.
tutorial 10,Alrighty. Then double tap ground to make unit MOVE and ATTACK.,좋아! 이제 빈 땅을 더블탭해보거라! 어택땅이라고 하는데. 이게 아주 편해. 병사들이 이동하다가 적을 마주하면 자동으로 전투를 시작하지. 뭐? 알고 있다고?,Excelente. Ahora toca dos veces el suelo para hacer que la unidad se MUEVA y ATAQUE.,Хорошо. Затем дважды нажмите на землю` чтобы отдать приказ юниту 'ДВИЖЕНИЕ И АТАКА'.
tutorial 11,Ggggggreat. No more words needed. Try finding out what you can do with what you got. The objectives are on the top left corner of the screen. Good luck. Sweat heart.,쪼아조아조아조아. 더 이상 말이 필요 없겠구나. 이제 나름의 방법으로 전장을 지휘하려무나. 화면 왼쪽 위에 임무 목표가 있으니 마음껏 즐기렴. 행운을 빌어주마.,Ggggggenial. No hay más que decir. Intenta averiguar qué puedes hacer con lo que tienes. Los objetivos aparecen en la esquina superior izquierda de la pantalla. Buena suerte` cariño.,Отлично. Довольно слов. Попробуйте выяснить` что вы можете сделать с тем` что у вас есть. Задания находятся в верхнем левом углу экрана. Удачи` дорогуша.
tutorialHowTo0,Select a worker,일꾼을 선택하세요,Selecciona un trabajador,Выберите рабочего
tutorialHowTo1,Touch ground to move selected worker,땅을 터치해서 선택된 일꾼을 이동하세요,Toca el suelo para que el trabajador seleccionado se mueva,Коснитесь земли` чтобы переместить выбранного рабочего
tutorialHowTo2,Drag screen with two fingers to move the view,두 손가락으로 화면을 쓸어서 시야를 이동하세요,Arrastra dos dedos por la pantalla para mover la cámara,Перетащите экран двумя пальцами` чтобы переместить камеру
tutorialHowTo3,Select a worker and select the mine,일꾼을 선택하고 금광을 선택하세요,Selecciona un trabajador y selecciona la mina,Выберите рабочего и выберите шахту
tutorialHowTo4,Select a worker and select a tree,일꾼을 선택하고 나무를 선택하세요,Selecciona un trabajador y selecciona un árbol,Выберите рабочего и выберите дерево
tutorialHowTo5,Select a worker and select the build icon,일꾼을 선택하고 건설 메뉴를 선택하세요,Selecciona un trabajador y selecciona el icono para construir,Выберите рабочего и выберите значок постройки
tutorialHowTo6,Build a farm,농장을 지으세요,Construye una granja,Построить ферму
tutorialHowTo7,Build a barracks,병영을 지으세요,Construye un cuartel,Построить казарму
tutorialHowTo8,Train a swordsman,검사를 생산하세요,Entrena a un espadachín,Обучить мечника
tutorialHowTo9,Drag screen with one finger to select multiple units,한 손가락으로 화면을 쓸어서 여러명의 유닛을 선택하세요,Arrastra un dedo por la pantalla para seleccionar a múltiples unidades,Проведите пальцем по экрану` чтобы выбрать несколько единиц
tutorialHowTo10,Double tap ground to command MOVE AND ATTACK to selected units,유닛을 선택한채로 땅을 더블탭하면 유닛이 이동하며 공격가능한 대상을 만나면 자동으로 공격합니다,Toca el suelo dos veces para ordenar MOVERSE y ATACAR a las unidades seleccionadas,Дважды нажмите на землю` чтобы отдать команду 'ПЕРЕМЕЩЕНИЕ И АТАКА' к выбранным единицам
objective build farm,Build farms,농장을 건설하라,Construye granjas,Построить фермы
objective build barracks,Build barracks,병영을 건설하라,Construye cuarteles,Построить казармы
objective train swordsman,Train swordsmen,검사를 생산하라,Entrena a espadachines,Обучить мечников
objective destroy them all,Destroy them all,적의 전멸,Acaba con todos,Уничтожить всех
objective survive,Survive for %d minutes,%d분 동안 살아남기,Sobrevive %d minutos,Продержаться %d минут
objective protect all,Protect your ally,동맹을 지켜라,Protege a tus aliados,Защити своего союзника
event0_0,hero>I know you’ve been waiting for today!,hero>칼란! 네가 오늘을 고대한 건 알고 있다!,hero>Se que llevas mucho esperando este momento.,hero>Я знаю` вы ждали этот день!
event0_1,hero>But today is not the day!,hero>하지만 오늘은 날이 아니야!,hero>¡Pero hoy no será el día!,hero>Но сегодня не он!
event0_2,orc>What?,orc>뭐? 왓? 뭐?,orc>¿Qué?,orc>Что?
event0_3,hero>There is a spooky plague that is spreading all over the land.,hero>대륙 전체에 기분나쁜 전염병이 돈다는 소문이다!,hero>Una plaga aterradora se propaga por todos lados.,hero>Жуткая чума распространяется по землям
event0_4,orc>Pleegooo?,orc>전병? 먹어?,orc>¿Plaajaaa?,orc>Чууууммма?
event0_5,hero>No. Plague. A sickness. They say this plague is dangerous as hell.,hero>아니. 전염병! 아픈 것 말이다! 한글 좀 더 배우렴! 이 전염병이 아주 위험하다고 한다!,hero>No. Plaga. Una enfermedad muy chunga.,hero>Да! Чума. Болезнь. Говорят` она смертоносна.
event0_6,hero>Soldiers must die at war. Not by plague.,hero>내 전사들의 마지막을 전염병으로 더럽히고 싶지 않다!,hero>Los soldados deben morir en la guerra` no por culpa de una plaga.,hero>Солдаты должны умерать на войне` а не от чумы.
event0_7,orc>What… are you say?,orc>뭐? 그래서? 뭐? 왓?,orc>¿Qué...tu diciendo?,orc>Что? Что ты сказал?
event0_8,hero>I say let’s postpone this war until Doctors find a cure.,hero>의사들이 해결책을 찾기 전까지 이 전투를 미루는 것이 어떤가?!,hero>Digo que pospongamos esta guerra hasta que los médicos encuentren una cura.,hero>Я говорю`давай отложим эту войну до тех пор` пока врачи не найдут лекарство.
event0_9,orc>That is dog speaking! Our troop strong. No sick endanger Orc.,orc>멍청한 소리! 오크 병사 강하다! 감기 따위 걸리지 않는다!,orc>Eso ser tonterías. Nuestra tropa ser fuerte. Ninguna enfermedad afectar orcos.,orc>Ты говоришь как трусливый пёс! Наш отряд силён. Мы не больны.
event0_10,hero>You don’t understand. The situ..,hero>감기가 아니라 전염병이라니까..,hero>No lo entiendes. La situa...,hero>Но вы не понимаете. Ситуация…
event0_11,orc>That is cow moo! Stop mooing! And stand there watch spank you!,orc>바보 소리! 대화 없다 필요! 싸운다 우리! 딱 기다려라!,orc>Ser bebé llorón. ¡Dejar de llorar! Y venir aquí para yo azotar a ti.,orc>Хватит мычать как корова! Я прихлопну тебя на месте!
event0_12,hero>Alright. Then let’s make it quick. How about a single combat? Just you and me.,hero>이대로 돌아갈 순 없다는 말로 알아듣겠다. 그럼 이건 어떤가? 너랑 나랑 둘이 결판을 내자. 길게 끌 필요 없잖아?,hero>Está bien. Pero rapidito. ¿Qué te parece un combate individual? Tu contra mi.,hero>Хорошо. Тогда давайте сделаем это быстро. Как насчет одного боя? Только ты и я.
event0_13,hero>Let’s not waste time and men.,hero>시간 낭비 하지 말자구.,hero>No perdamos tiempo ni hombres.,hero>Не будем тратить ни время` ни людей.
event0_14,orc>No! My troop want to war! Don't steal my troop’s war!,orc>안된다! 우리 오크들 기다렸다 이 날! 우리들의 즐거움을 가져가지 마라!,orc>¡No! Tropas mías querer guerra. No robar guerra a tropas mías.,orc>Нет! Мой отряд хочет войны! Не смей забирать войну у моего войска!
event0_15,undead>Well… well… well…,undead>그럼 그렇지…,undead> Vaya... Vaya... Vaya...,undead>Так-так-так…
event0_16,undead>You guys never learn.,undead>정말 너희들은 늘 똑같구나.,undead>Vosotros nunca aprendéis.,undead>Вы` ребята` никогда не учитесь.
event0_17,hero>Who are you?,hero>댁은 뉘슈?,hero>¿Quién eres?,hero>Кто ты?
event0_18,orc>…,orc>가면 멋있다! 나 주라!,orc>...,orc>…
event0_19,undead>I am no one.,undead>나말인가? 그저 스처가는 나그네라 하고 싶지만 이 너무나도 대화에 끼고 싶군.,undead>No soy nadie.,undead>Я никто
event0_20,hero>I recognize you. No way… You are..,hero>말도 안돼! 당신은 레밍…,hero>Me suenas. No puede ser... Tu eres...,hero>Я узнаю кто ты. О нет... Ты...
event0_21,undead>Hey` hey` hey. I just said I’m no one. Please. Don’t ruin the moment.,undead>헤이! 보이! 그건 중요치 않아. 과거의 내가 누구이건 간에 지금 사라져야 할 건 그대들이라는 거지.,undead>Ey` ey` ey. Acabo de decir que no soy nadie. No arruines el momento` por favor.,undead>Эй` эй` эй. Я просто сказал` что я никто. Пожалуйста. Не разрушай момент.
event0_22,orc>You talk much. You dead too.,orc>우오! 말 많다! 좀 맞자!,orc>Tu hablar mucho. Tu muerto también.,orc>Вы много говорите. Тебя я тоже убью.
event0_23,orc>OAAOAAOAAOAA!!!,orc>우오우오오우오!,orc>¡¡¡OAAOAAOAAOAA!!!,orc>Агрхгргхрг!!!
event0_24,undead>What are you OAAOAAOAAOAAing for?,undead>누구한데 우오우오오우오 거리는거야?,undead>¿Por qué haces eso?,undead>Для чего ты рычишь?
event0_25,orc>My troop kill you and stupid humans!,orc>우리 군대가 널 뭉개고 멍청한 휴먼도 뭉개버릴 것이다!,orc>Mi tropa matar a tu y a humanos estúpidos.,orc>Мой отряд убьет тебя и глупых людишек!
event0_26,hero>You look like Orc. My men will not give you a mercy. You should run.,hero>당신은 이제 휴먼족보단 오크에 더 가깝군요. 내 병력들은 당신을 오크라 생각할 겁니다. 위험하니 물러서세요.,hero>Te pareces a un orco. Mis hombres no tendrán piedad. Será mejor que te vayas.,hero>Ты выглядишь как орк. Мои люди не пощадят тебя. Ты должен бежать.
event0_27,undead>You two. What are you talking about? Your men are not here.,undead>너희 둘. 무슨 말을 하는거야? 도대체 어디에 너희 병력이 있다는 거야?,undead>¿De qué habláis vosotros dos? Vuestros hombres no están aquí.,undead>Вы двое. О чем вы говорите? Ваших людей здесь нет.
event0_28,hero>What?(yell),hero>뭐?(yell),hero>¿Qué?(yell),hero>Какого?(yell)
event0_29,orc>What?(yell),orc>왓?(yell),orc>¿Qué?(yell),orc>Что?(yell)
event0_30,hero>What happen to them?,hero>그들에게 무슨 일이 일어난거지?,hero>¿Qué les ha pasado?,hero>Что с ними произошло?
event0_31,undead>They are my men now.,undead>그들은 이제 내 병력들이야!,undead>Ahora son mis hombres.,undead>Теперь они мои люди.
event0_32,undead>Prepare.,undead>준비하거라!,undead>Preparaos.,undead>Готовься.
event0_33,undead>To be one of them.,undead>너희도 곧 같은 모습이 될테니.,undead>Para ser uno de ellos.,undead>Стать одним из них.
event0_34,undead>HAHAHAHHHAHAHHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAH..(yell),undead>무와하하하하하하하하핫하하하하하하하하하하하하(yell),undead>JAJAJAJJJAJAJJAJAJAJAJAJJAJAJAJAJAJAJAJAJAJAJAJA...(yell),undead>Хахахахахахахахахахахахахахахахахахаха(yell)
event1_0,hero>Give up. You failed.,hero>포기해라 레밍턴! 넌 실패했어!,hero>Ríndete. Has fracasado.,hero>Сдавайся! Ты проиграл.
event1_1,undead>What? Who said that?,undead>뭐? 누가 그래? 그리고 너 왜 반말이야?,undead>¿Qué?¿Quién ha dicho eso?,undead>Что? Кто это сказал?
event1_2,hero>Why? Do you have more zombies in your pocket?,hero>왜? 주머니에 좀비 좀 남아있어? 휴먼을 떠난 시점에서 존칭을 기대하진 말아야지.,hero>¿Qué pasa?¿Tienes más zombis en el bolsillo?,hero>Зачем? У вас в кармане есть ещё больше зомби?
event1_3,undead>You make a joke` now. Do you think you ended the war.,undead>농담도 하는 걸 보니. 꽤 여유롭구나. 왜? 니가 전쟁을 끝내기라도 한 것 같니?,undead>¡Qué gracioso! ¿Crees que has terminado la guerra?,undead>Ты шутишь что ли?! Думаешь` ты закончил войну?
event1_4,hero>No. I didn’t. We. We ended the war.,hero>내가 아니야. 우리가 끝낸거지. 휴먼족과 오크족이 말이야.,hero>No` yo no. Nosotros` nosotros la hemos terminado.,hero>Нет` не я. Мы! Мы закончили эту войну.
event1_5,orc>OAHOAHOHOAA!,orc>우오우오오우오오!,orc>¡OAHOAHOHOAA!,orc>Агрхгргхрг!!!
event1_6,hero>See?,hero>들었지?,hero>¿Ves?,hero>Видишь?
event1_7,undead>Ha!,undead>뭘?,undead>¡Já!,undead>Ха?
event1_8,undead>Like I said. You never learn.,undead>잘 들어봐. 정말 휴먼족과 오크족을 우리라고 말하고 싶은거야?,undead> Como ya dije. Nunca aprendéis.,undead>Как я и говорил. Вы никогда не учитесь.
event1_9,hero>What?,hero>무슨 말이지?,hero>¿A qué te refieres?,hero>Что?
event1_10,undead>Do you think the piece came to the world?,undead>휴먼족과 오크족이 평생 동맹이라도 할 줄 알았냔 말이야.,undead>¿Crees que hay paz en el mundo?,undead>Вы думаете это мир пришел в эти земли?
event1_11,hero>It is. Orc and Human are friend` now.,hero>물론이지! 나 이제 깨달아요~ 휴먼족과 오크족도 친구가 될 수 있음을~,hero>Ahora que orcos y humanos somos amigos` sí.,hero>Да. Орки и люди теперь друзья.
event1_12,undead>HAHAHAHAHAHAHAHA(yell),undead>푸하하하하하하하하!(yell),undead>JAJAJAJAJAJAJAJA(yell),undead>Хахахахахахахахахахахахахаха(yell)
event1_13,undead>Let me ask Orc if that is true.,undead>어디 오크족도 그렇게 생각하는지 물어볼까?,undead>Permíteme que le pregunte a los orcos al respecto.,undead>Позволь мне спросить Орка` правда ли это.
